model,field,strict_agreement_rate,pairwise_agreement_rate
anthropic__claude-opus-4-6,collected.detected,1.0,1.0
anthropic__claude-opus-4-6,stored.detected,0.9667,0.9867
anthropic__claude-opus-4-6,shared.detected,0.9667,0.98
anthropic__claude-opus-4-6,shared.third_country_sharing,0.9667,0.98
anthropic__claude-opus-4-6,retention_policy.deletion,0.9667,0.98
anthropic__claude-opus-4-6,retention_policy.inactivity,1.0,1.0
anthropic__claude-opus-4-6,data_minimization.adequate,0.8333,0.9133
anthropic__claude-sonnet-4-6,collected.detected,0.9333,0.9733
anthropic__claude-sonnet-4-6,stored.detected,0.9,0.96
anthropic__claude-sonnet-4-6,shared.detected,0.9,0.9467
anthropic__claude-sonnet-4-6,shared.third_country_sharing,0.9667,0.9867
anthropic__claude-sonnet-4-6,retention_policy.deletion,0.9,0.9533
anthropic__claude-sonnet-4-6,retention_policy.inactivity,1.0,1.0
anthropic__claude-sonnet-4-6,data_minimization.adequate,0.9,0.96
deepseek__deepseek-r1,collected.detected,0.7667,0.86
deepseek__deepseek-r1,stored.detected,0.9,0.94
deepseek__deepseek-r1,shared.detected,0.8667,0.9267
deepseek__deepseek-r1,shared.third_country_sharing,0.8333,0.9267
deepseek__deepseek-r1,retention_policy.deletion,0.7,0.8333
deepseek__deepseek-r1,retention_policy.inactivity,0.9333,0.9667
deepseek__deepseek-r1,data_minimization.adequate,0.8,0.9133
deepseek__deepseek-v3-2,collected.detected,0.8,0.8867
deepseek__deepseek-v3-2,stored.detected,0.7333,0.8533
deepseek__deepseek-v3-2,shared.detected,0.7,0.8233
deepseek__deepseek-v3-2,shared.third_country_sharing,0.8667,0.9333
deepseek__deepseek-v3-2,retention_policy.deletion,0.7667,0.8867
deepseek__deepseek-v3-2,retention_policy.inactivity,0.9667,0.98
deepseek__deepseek-v3-2,data_minimization.adequate,0.8,0.9067
google__gemini-3-1-flash-lite-preview,collected.detected,1.0,1.0
google__gemini-3-1-flash-lite-preview,stored.detected,1.0,1.0
google__gemini-3-1-flash-lite-preview,shared.detected,1.0,1.0
google__gemini-3-1-flash-lite-preview,shared.third_country_sharing,1.0,1.0
google__gemini-3-1-flash-lite-preview,retention_policy.deletion,1.0,1.0
google__gemini-3-1-flash-lite-preview,retention_policy.inactivity,1.0,1.0
google__gemini-3-1-flash-lite-preview,data_minimization.adequate,1.0,1.0
google__gemini-3-1-pro-preview,collected.detected,1.0,1.0
google__gemini-3-1-pro-preview,stored.detected,0.9667,0.98
google__gemini-3-1-pro-preview,shared.detected,0.9333,0.9667
google__gemini-3-1-pro-preview,shared.third_country_sharing,1.0,1.0
google__gemini-3-1-pro-preview,retention_policy.deletion,0.9,0.9467
google__gemini-3-1-pro-preview,retention_policy.inactivity,0.9333,0.96
google__gemini-3-1-pro-preview,data_minimization.adequate,0.9333,0.9667
openai__gpt-5-4,collected.detected,0.9,0.9433
openai__gpt-5-4,stored.detected,0.8,0.9067
openai__gpt-5-4,shared.detected,0.8667,0.9267
openai__gpt-5-4,shared.third_country_sharing,0.9667,0.98
openai__gpt-5-4,retention_policy.deletion,0.7,0.8567
openai__gpt-5-4,retention_policy.inactivity,0.9667,0.9867
openai__gpt-5-4,data_minimization.adequate,0.8,0.9
openai__gpt-5-4-mini,collected.detected,0.7667,0.8667
openai__gpt-5-4-mini,stored.detected,0.5333,0.7611
openai__gpt-5-4-mini,shared.detected,0.7667,0.8833
openai__gpt-5-4-mini,shared.third_country_sharing,0.8,0.9
openai__gpt-5-4-mini,retention_policy.deletion,0.7,0.8411
openai__gpt-5-4-mini,retention_policy.inactivity,0.9333,0.9667
openai__gpt-5-4-mini,data_minimization.adequate,0.6,0.8144
qwen__qwen3-5-397b-a17b,collected.detected,0.8,0.895
qwen__qwen3-5-397b-a17b,stored.detected,0.7,0.835
qwen__qwen3-5-397b-a17b,shared.detected,0.8,0.92
qwen__qwen3-5-397b-a17b,shared.third_country_sharing,0.65,0.81
qwen__qwen3-5-397b-a17b,retention_policy.deletion,0.85,0.915
qwen__qwen3-5-397b-a17b,retention_policy.inactivity,0.9,0.96
qwen__qwen3-5-397b-a17b,data_minimization.adequate,0.35,0.64
qwen__qwen3-8b,collected.detected,0.7,0.8367
qwen__qwen3-8b,stored.detected,0.7333,0.8667
qwen__qwen3-8b,shared.detected,0.6333,0.8367
qwen__qwen3-8b,shared.third_country_sharing,0.5333,0.7633
qwen__qwen3-8b,retention_policy.deletion,0.6,0.75
qwen__qwen3-8b,retention_policy.inactivity,0.9667,0.98
qwen__qwen3-8b,data_minimization.adequate,0.5333,0.75
