model,policy,category,field,snippet,found
anthropic__claude-opus-4-6,amazon,biometric_data,collected.policy_snippet,voice recordings when you speak to Alexa; images and videos collected or stored in connection with Amazon Services,true
anthropic__claude-opus-4-6,amazon,biometric_data,stored.policy_snippet,"a recording of what you ask Alexa is sent to Amazon's cloud, where we process your request and other information to respond to you. As part of that processing, we create a text transcript of your request",true
anthropic__claude-opus-4-6,amazon,biometric_data,shared.policy_snippet,"We employ other companies and individuals to perform functions on our behalf. Examples include fulfilling orders for products or services, delivering packages, sending postal mail and email, removing repetitive information from customer lists, analyzing data, providing marketing assistance",true
anthropic__claude-opus-4-6,amazon,biometric_data,retention_policy.policy_snippet_deletion,"you can choose to automatically delete your voice recordings, text transcripts, and typed requests to Alexa after a specified period of time (3 or 18 months), or you can choose to not save any voice recordings.",true
anthropic__claude-opus-4-6,amazon,biometric_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,amazon,health_data,collected.policy_snippet,Please read our Additional State-Specific Privacy Disclosures and Consumer Health Data Privacy Disclosure for additional information about the processing of your personal data and your rights under applicable U.S. state data privacy laws.,true
anthropic__claude-opus-4-6,amazon,health_data,stored.policy_snippet,Please read our Additional State-Specific Privacy Disclosures and Consumer Health Data Privacy Disclosure for additional information about the processing of your personal data and your rights under applicable U.S. state data privacy laws.,true
anthropic__claude-opus-4-6,amazon,health_data,shared.policy_snippet,"We share customers' personal information only as described below and with subsidiaries Amazon.com, Inc. controls that either are subject to this Privacy Notice or follow practices at least as protective as those described in this Privacy Notice.",true
anthropic__claude-opus-4-6,amazon,health_data,retention_policy.policy_snippet_deletion,,empty
anthropic__claude-opus-4-6,amazon,health_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,amazon,physiological_data,collected.policy_snippet,,empty
anthropic__claude-opus-4-6,amazon,physiological_data,stored.policy_snippet,,empty
anthropic__claude-opus-4-6,amazon,physiological_data,shared.policy_snippet,,empty
anthropic__claude-opus-4-6,amazon,physiological_data,retention_policy.policy_snippet_deletion,,empty
anthropic__claude-opus-4-6,amazon,physiological_data,retention_policy.policy_snippet_inactivity,,empty
anthropic__claude-opus-4-6,amazon,physical_data,collected.policy_snippet,"Our physical stores may use cameras, computer vision, sensors, and other technology to gather information about your activity in the store, such as the products and services you interact with.",true
anthropic__claude-opus-4-6,amazon,physical_data,stored.policy_snippet,We receive and store any information you provide in relation to Amazon Services.,true
anthropic__claude-opus-4-6,amazon,physical_data,shared.policy_snippet,"We employ other companies and individuals to perform functions on our behalf. Examples include fulfilling orders for products or services, delivering packages, sending postal mail and email, removing repetitive information from customer lists, analyzing data, providing marketing assistance",true
