model,field,n_pairs,agreement_rate,macro_f1,f1_true,f1_false,f1_ambiguous
anthropic__claude-sonnet-4-6,collected.detected,5,0.8,0.6,0.8,1.0,0.0
anthropic__claude-sonnet-4-6,stored.detected,5,0.8,0.6,1.0,0.8,0.0
anthropic__claude-sonnet-4-6,shared.detected,5,1.0,0.6667,1.0,1.0,0.0
anthropic__claude-sonnet-4-6,shared.third_country_sharing,5,0.6,0.25,0.0,0.75,0.0
anthropic__claude-sonnet-4-6,retention_policy.deletion,5,0.6,0.4333,0.0,0.8,0.5
anthropic__claude-sonnet-4-6,retention_policy.inactivity,5,1.0,0.3333,0.0,1.0,0.0
anthropic__claude-sonnet-4-6,data_minimization.adequate,5,0.4,0.2667,0.0,0.4,0.4
deepseek__deepseek-r1,collected.detected,5,0.8,0.5333,0.8,0.8,0.0
deepseek__deepseek-r1,stored.detected,5,0.8,0.6,1.0,0.8,0.0
deepseek__deepseek-r1,shared.detected,5,1.0,0.6667,1.0,1.0,0.0
deepseek__deepseek-r1,shared.third_country_sharing,5,0.6,0.25,0.0,0.75,0.0
deepseek__deepseek-r1,retention_policy.deletion,5,0.4,0.2222,0.0,0.6667,0.0
deepseek__deepseek-r1,retention_policy.inactivity,5,1.0,0.3333,0.0,1.0,0.0
deepseek__deepseek-r1,data_minimization.adequate,5,0.2,0.1111,0.0,0.3333,0.0
google__gemini-3-1-flash-lite-preview,collected.detected,5,0.8,0.5079,0.8571,0.6667,0.0
google__gemini-3-1-flash-lite-preview,stored.detected,5,0.6,0.5,1.0,0.5,0.0
google__gemini-3-1-flash-lite-preview,shared.detected,5,0.8,0.6,1.0,0.8,0.0
google__gemini-3-1-flash-lite-preview,shared.third_country_sharing,5,0.4,0.1905,0.0,0.5714,0.0
google__gemini-3-1-flash-lite-preview,retention_policy.deletion,5,0.2,0.1667,0.0,0.5,0.0
google__gemini-3-1-flash-lite-preview,retention_policy.inactivity,5,1.0,0.3333,0.0,1.0,0.0
google__gemini-3-1-flash-lite-preview,data_minimization.adequate,5,0.4,0.1905,0.0,0.0,0.5714
google__gemini-3-1-pro-preview,collected.detected,5,0.8,0.5333,0.8,0.8,0.0
google__gemini-3-1-pro-preview,stored.detected,5,0.8,0.6,1.0,0.8,0.0
google__gemini-3-1-pro-preview,shared.detected,5,1.0,0.6667,1.0,1.0,0.0
google__gemini-3-1-pro-preview,shared.third_country_sharing,5,0.6,0.25,0.0,0.75,0.0
google__gemini-3-1-pro-preview,retention_policy.deletion,5,0.6,0.4333,0.0,0.8,0.5
google__gemini-3-1-pro-preview,retention_policy.inactivity,5,1.0,0.3333,0.0,1.0,0.0
google__gemini-3-1-pro-preview,data_minimization.adequate,5,0.2,0.1111,0.0,0.3333,0.0
openai__gpt-5-4,collected.detected,5,0.8,0.5333,0.8,0.8,0.0
openai__gpt-5-4,stored.detected,5,0.8,0.6,1.0,0.8,0.0
openai__gpt-5-4,shared.detected,5,1.0,0.6667,1.0,1.0,0.0
openai__gpt-5-4,shared.third_country_sharing,5,0.6,0.25,0.0,0.75,0.0
openai__gpt-5-4,retention_policy.deletion,5,0.6,0.4333,0.0,0.8,0.5
openai__gpt-5-4,retention_policy.inactivity,5,1.0,0.3333,0.0,1.0,0.0
openai__gpt-5-4,data_minimization.adequate,5,0.2,0.1111,0.0,0.0,0.3333
openai__gpt-5-4-mini,collected.detected,5,0.6,0.3889,0.6667,0.5,0.0
openai__gpt-5-4-mini,stored.detected,5,0.8,0.6,1.0,0.8,0.0
openai__gpt-5-4-mini,shared.detected,5,1.0,0.6667,1.0,1.0,0.0
openai__gpt-5-4-mini,shared.third_country_sharing,5,0.6,0.25,0.0,0.75,0.0
openai__gpt-5-4-mini,retention_policy.deletion,5,0.4,0.2667,0.0,0.8,0.0
openai__gpt-5-4-mini,retention_policy.inactivity,5,1.0,0.3333,0.0,1.0,0.0
openai__gpt-5-4-mini,data_minimization.adequate,5,0.2,0.1111,0.0,0.3333,0.0
qwen__qwen3-5-397b-a17b,collected.detected,5,0.8,0.5333,0.8,0.8,0.0
qwen__qwen3-5-397b-a17b,stored.detected,5,0.8,0.6,1.0,0.8,0.0
qwen__qwen3-5-397b-a17b,shared.detected,5,1.0,0.6667,1.0,1.0,0.0
qwen__qwen3-5-397b-a17b,shared.third_country_sharing,5,0.6,0.25,0.0,0.75,0.0
qwen__qwen3-5-397b-a17b,retention_policy.deletion,5,0.6,0.4333,0.0,0.8,0.5
qwen__qwen3-5-397b-a17b,retention_policy.inactivity,5,1.0,0.3333,0.0,1.0,0.0
qwen__qwen3-5-397b-a17b,data_minimization.adequate,5,0.6,0.25,0.0,0.0,0.75
qwen__qwen3-8b,collected.detected,5,0.4,0.2222,0.0,0.6667,0.0
qwen__qwen3-8b,stored.detected,5,0.6,0.4444,0.6667,0.6667,0.0
qwen__qwen3-8b,shared.detected,5,0.8,0.5079,0.6667,0.8571,0.0
qwen__qwen3-8b,shared.third_country_sharing,5,0.8,0.2963,0.0,0.8889,0.0
qwen__qwen3-8b,retention_policy.deletion,5,0.4,0.2222,0.0,0.6667,0.0
qwen__qwen3-8b,retention_policy.inactivity,5,0.8,0.2963,0.0,0.8889,0.0
qwen__qwen3-8b,data_minimization.adequate,5,0.0,0.0,0.0,0.0,0.0
